Parameter,Value,MaxExecutionTime,CacheSize,s,E,b
SetIndexBits,1,496586,128,1,2,5
SetIndexBits,2,411450,256,2,2,5
SetIndexBits,3,341506,512,3,2,5
SetIndexBits,4,248689,1024,4,2,5
SetIndexBits,5,187873,2048,5,2,5
SetIndexBits,6,151089,4096,6,2,5
SetIndexBits,7,120378,8192,7,2,5
SetIndexBits,8,98898,16384,8,2,5
SetIndexBits,9,91852,32768,9,2,5
SetIndexBits,10,89818,65536,10,2,5
SetIndexBits,11,89235,131072,11,2,5
Associativity,1,230401,2048,6,1,5
Associativity,2,151089,4096,6,2,5
Associativity,3,131050,6144,6,3,5
Associativity,4,117057,8192,6,4,5
Associativity,5,104667,10240,6,5,5
Associativity,6,95771,12288,6,6,5
Associativity,7,91686,14336,6,7,5
Associativity,8,90355,16384,6,8,5
Associativity,9,89437,18432,6,9,5
Associativity,10,89235,20480,6,10,5
Associativity,11,89151,22528,6,11,5
Associativity,12,89050,24576,6,12,5
Associativity,13,89050,26624,6,13,5
Associativity,14,89050,28672,6,14,5
Associativity,15,89050,30720,6,15,5
Associativity,16,89050,32768,6,16,5
Associativity,17,89050,34816,6,17,5
Associativity,18,89050,36864,6,18,5
Associativity,19,89050,38912,6,19,5
Associativity,20,89050,40960,6,20,5
Associativity,21,89050,43008,6,21,5
Associativity,22,89050,45056,6,22,5
Associativity,23,89050,47104,6,23,5
Associativity,24,89050,49152,6,24,5
Associativity,25,89050,51200,6,25,5
Associativity,26,89050,53248,6,26,5
Associativity,27,89050,55296,6,27,5
Associativity,28,89050,57344,6,28,5
Associativity,29,89050,59392,6,29,5
Associativity,30,89050,61440,6,30,5
Associativity,31,89050,63488,6,31,5
Associativity,32,89050,65536,6,32,5
Associativity,33,89050,67584,6,33,5
Associativity,34,89050,69632,6,34,5
Associativity,35,89050,71680,6,35,5
Associativity,36,89050,73728,6,36,5
Associativity,37,89050,75776,6,37,5
Associativity,38,89050,77824,6,38,5
Associativity,39,89050,79872,6,39,5
Associativity,40,89050,81920,6,40,5
Associativity,41,89050,83968,6,41,5
Associativity,42,89050,86016,6,42,5
Associativity,43,89050,88064,6,43,5
Associativity,44,89050,90112,6,44,5
Associativity,45,89050,92160,6,45,5
Associativity,46,89050,94208,6,46,5
Associativity,47,89050,96256,6,47,5
Associativity,48,89050,98304,6,48,5
Associativity,49,89050,100352,6,49,5
Associativity,50,89050,102400,6,50,5
Associativity,51,89050,104448,6,51,5
Associativity,52,89050,106496,6,52,5
Associativity,53,89050,108544,6,53,5
Associativity,54,89050,110592,6,54,5
