Parameter,Value,MaxExecutionTime,CacheSize
SetIndexBits,1,226267,128
SetIndexBits,2,180651,256
SetIndexBits,3,148545,512
SetIndexBits,4,114238,1024
SetIndexBits,5,83618,2048
SetIndexBits,6,66548,4096
SetIndexBits,7,59560,8192
SetIndexBits,8,58115,16384
SetIndexBits,9,56935,32768
SetIndexBits,10,56743,65536
SetIndexBits,11,56280,131072
Associativity,1,95728,2048
Associativity,2,66548,4096
Associativity,3,60779,6144
Associativity,4,59348,8192
Associativity,5,58117,10240
Associativity,6,57367,12288
Associativity,7,56673,14336
Associativity,8,56668,16384
Associativity,9,56396,18432
Associativity,10,56397,20480
Associativity,11,56475,22528
Associativity,12,56297,24576
Associativity,13,56297,26624
Associativity,14,56297,28672
Associativity,15,56297,30720
Associativity,16,56297,32768
Associativity,17,56297,34816
Associativity,18,56297,36864
Associativity,19,56297,38912
Associativity,20,56297,40960
Associativity,21,56297,43008
Associativity,22,56297,45056
Associativity,23,56297,47104
Associativity,24,56297,49152
Associativity,25,56297,51200
Associativity,26,56297,53248
Associativity,27,56297,55296
Associativity,28,56297,57344
Associativity,29,56297,59392
Associativity,30,56297,61440
Associativity,31,56297,63488
Associativity,32,56297,65536
Associativity,33,56297,67584
Associativity,34,56297,69632
Associativity,35,56297,71680
Associativity,36,56297,73728
Associativity,37,56297,75776
Associativity,38,56297,77824
Associativity,39,56297,79872
Associativity,40,56297,81920
Associativity,41,56297,83968
Associativity,42,56297,86016
Associativity,43,56297,88064
Associativity,44,56297,90112
Associativity,45,56297,92160
Associativity,46,56297,94208
Associativity,47,56297,96256
Associativity,48,56297,98304
Associativity,49,56297,100352
Associativity,50,56297,102400
Associativity,51,56297,104448
Associativity,52,56297,106496
Associativity,53,56297,108544
Associativity,54,56297,110592
Associativity,55,56297,112640
Associativity,56,56297,114688
Associativity,57,56297,116736
Associativity,58,56297,118784
Associativity,59,56297,120832
Associativity,60,56297,122880
Associativity,61,56297,124928
Associativity,62,56297,126976
Associativity,63,56297,129024
Associativity,64,56297,131072
Associativity,65,56297,133120
Associativity,66,56297,135168
Associativity,67,56297,137216
Associativity,68,56297,139264
Associativity,69,56297,141312
Associativity,70,56297,143360
Associativity,71,56297,145408
Associativity,72,56297,147456
Associativity,73,56297,149504
Associativity,74,56297,151552
Associativity,75,56297,153600
Associativity,76,56297,155648
Associativity,77,56297,157696
Associativity,78,56297,159744
Associativity,79,56297,161792
Associativity,80,56297,163840
Associativity,81,56297,165888
Associativity,82,56297,167936
Associativity,83,56297,169984
Associativity,84,56297,172032
Associativity,85,56297,174080
Associativity,86,56297,176128
Associativity,87,56297,178176
Associativity,88,56297,180224
Associativity,89,56297,182272
Associativity,90,56297,184320
Associativity,91,56297,186368
Associativity,92,56297,188416
Associativity,93,56297,190464
Associativity,94,56297,192512
Associativity,95,56297,194560
Associativity,96,56297,196608
Associativity,97,56297,198656
Associativity,98,56297,200704
Associativity,99,56297,202752
Associativity,100,56297,204800
BlockBits,2,196317,512
BlockBits,3,161446,1024
BlockBits,4,112142,2048
BlockBits,5,66548,4096
BlockBits,6,47253,8192
BlockBits,7,38647,16384
BlockBits,8,37994,32768
BlockBits,9,40694,65536
BlockBits,10,54515,131072
BlockBits,11,78902,262144
BlockBits,12,134565,524288
BlockBits,13,191243,1048576
